Date,Open,High,Low,Close,Volume
2023-12-18,69864.55167951282,70083.10668438702,68261.81999512581,68480.375,8675465
2023-12-19,68407.52766398428,68917.484375,68188.97263725287,68917.484375,2858348
2023-12-20,68698.93426429087,69208.89095592486,68553.22590065027,68990.3359375,6634319
2023-12-21,68917.47882094607,69281.7421875,68480.37632974565,69281.7421875,2621513
2023-12-22,69208.89358632064,69281.74777090989,68771.78353285784,68917.484375,2276417
2023-12-25,69136.040317054,70083.11462110758,69063.19365853663,69937.40625,3623384
2023-12-26,70301.66053585059,71831.53801783427,70228.80635974262,70811.6171875,5673391
2023-12-27,70957.32618090008,71248.73539184192,70593.0703125,70593.0703125,3030771
2023-12-28,70665.93268219563,70665.93268219563,70155.96838573756,70374.5234375,2104360
2023-12-29,70374.51367254864,70665.92287680924,70010.2578125,70010.2578125,3226270
2024-01-02,70593.066383756,70593.066383756,69718.84632662009,69864.5546875,2933007
2024-01-03,69645.99646650789,70301.66147917107,69500.29563937237,70155.953125,2061643
2024-01-04,70155.95218363465,71685.8371926538,70083.10553456214,70811.6171875,3968292
2024-01-05,70884.47366106643,71030.17449096926,70301.66281441938,70957.3203125,1985468
2024-01-08,70957.32321691532,71612.98826886922,70738.76819959735,70884.4765625,2054369
2024-01-09,70884.48773395807,70884.48773395807,70374.5234375,70374.5234375,2400335
2024-01-10,70447.36688465375,70593.06772125831,68844.63510089544,68990.3359375,5038723
2024-01-11,68990.33560762016,69500.29982385179,68990.33560762016,69208.890625,2079497
2024-01-12,69063.1901193203,69646.00099277459,68553.22590065027,68990.3359375,3620342
2024-01-15,69208.88768851252,69864.55271283259,69136.03351013172,69500.296875,2787800
2024-01-16,68990.33981153283,69718.8515625,68990.33981153283,69718.8515625,1576286
2024-01-17,69646.00490362516,69937.40659319745,69208.89484223028,69718.8515625,2735589
2024-01-18,69718.84665374586,69937.40166905533,69354.59080390875,69646.0,2153425
2024-01-19,69937.39812077893,70593.06313344212,69718.84311655788,70155.953125,2829355
2024-01-22,70520.2063309223,70520.2063309223,69791.69469533129,70228.8046875,1615829
2024-01-23,70010.25584983712,70228.81086514657,69500.29916547234,69646.0,5503859
2024-01-24,69791.70149566757,69791.70149566757,69136.03644352805,69208.890625,3524195
2024-01-25,69281.7421875,69718.84467870042,69063.18717838192,69281.7421875,1986393
